Equipo,Edad
LaBandera,39.0
Lady C,30.5
Lalage,36.6
Lao People's Democratic Republic,21.0
Laos,21.528301886792452
Lasha,33.333333333333336
Latvia,26.63784665579119
Latvia-1,27.375
Latvia-2,25.4375
Lbeck,44.0
Leander Club #1-1,23.0
Leander Club #2-2,20.5
Leander Club-1,25.333333333333332
Leander Club-2,22.0
Lebanon,24.83606557377049
Legionario,34.5
Leipzig,25.0
Lerina,38.0
Lesotho,25.155172413793103
Lett,50.666666666666664
Libellule de Paris,20.6
Liberia,23.150943396226417
Libya,23.86046511627907
Liechtenstein,23.85786802030457
Linglom,41.333333333333336
Lithuania,26.13293650793651
Liverpool Police Team-2,31.5
Llanoria,36.0
London City Police-1,30.0
Lotta IV,28.75
Lucky,20.5
Lucky Girl-1,32.2
Lucky Star,32.5
Ludwigshafener Ruder Verein-1,23.0
Ludwigshafener Ruderverein,28.0
Lully II,28.6
Luxembourg,25.754310344827587
Luxembourg-1,31.0
Luxembourg-2,32.5
Lyn-2,29.6
Lynn,34.2
Ma'Lindo,27.5
Mac Miche,30.333333333333332
Macedonia,22.629032258064516
Macky VI,24.333333333333332
Mad Dog,23.5
Madagascar,24.22680412371134
Magda IX,32.0
Magdalen College Boat Club-1,21.0
Maid of Lebanon,38.5
Mainz,35.0
Malawi,23.555555555555557
Malaya,23.63157894736842
Malaysia,24.460975609756098
Malaysia-1,25.8
Malaysia-2,27.2
Maldives,21.093023255813954
Mali,23.929411764705883
Malta,25.07
Manana,45.0
Marga-2,29.166666666666668
Margaret,33.0
Mari,23.0
Marmara,35.5
Marmi II-1,32.0
Marshall Islands,20.285714285714285
Marsouin-26,38.0
Martha-27,53.0
Maryke,32.5
Mascotte,31.0
Matrero II,28.666666666666668
Mauritania,24.62962962962963
Mauritius,23.700854700854702
May Be,34.8
May Be VII,46.6
May-Be 1960,45.5
Merope,34.0
Merope III,41.25
Meteor,32.0
Mexico,25.038723181580323
Mexico-1,27.5
Mexico-2,28.5
Mignon-29,49.0
Milwaukee Athletic Club-1,29.0
Minerva Amsterdam,23.46153846153846
Minotaur,31.666666666666668
Mirtala,40.333333333333336
Miss Denmark 1964,27.5
Miss Nippon IV,33.0
Miss Nippon V,31.666666666666668
Missouri Athletic Club-3,22.0
MitaII,28.5
Mizar,39.0
Moldova,25.58048780487805
Monaco,31.242424242424242
Monaco-1,27.5
Monaco-2,29.0
Mongolia,25.412587412587413
Monica,38.0
Montenegro,26.894736842105264
Moorina,26.0
Morena,39.6
Morocco,25.664717348927876
Moseley Wanderers,24.666666666666668
Mosk II,34.857142857142854
Mouchette-2,39.0
Mound City Rowing Club-2,27.5
Mozambique,23.403508771929825
Mutafo,33.0
Myanmar,25.404255319148938
Myojo,27.0
Mystery,28.6
Naiad,36.5
Namibia,28.215384615384615
Namoussa,38.0
Nauru,23.46153846153846
Nausikaa 4,37.5
Nepal,25.37313432835821
Nephos I,40.0
Neptun II,32.0
Netherlands,26.738867924528304
Netherlands Antilles,27.191176470588236
Netherlands-1,27.53846153846154
Netherlands-2,28.0
"New College, Oxford-2",21.0
New York Athletic Club-1,26.5
New York Athletic Club-4,32.75
New Zealand,26.098228663446054
New Zealand-1,27.5
New Zealand-2,31.5
Newfoundland,21.0
Nicaragua,24.01923076923077
Niger,22.6
Nigeria,24.290983606557376
Nigeria-1,20.5
Nigeria-2,30.0
Nina,36.0
Nina Claire-30,38.0
Nirefs,23.666666666666668
Nirwana,40.4
Nokaut II,21.5
Nora,38.5
Noreg,44.75
Norna,32.5
Nortazo,29.0
North Borneo,22.5
North Korea,22.91891891891892
North Korea-2,17.666666666666668
North Macedonia,46.0
North Yemen,21.3
Norway,26.32972241029113
Norway-1,29.428571428571427
Norway-2,31.363636363636363
Norwegian Rowing Association,24.555555555555557
Nrnberg,22.0
Nurdug II,25.333333333333332
Nykjbings paa Falster,27.2
Oleander II,41.333333333333336
Oleander XII,27.333333333333332
Olen,34.0
Olimpia,31.5
Olle,32.5
Olympion,17.5
Oman,25.425531914893618
Oranje,22.333333333333332
Ormsund Roklub-2,22.4
"Osborne Swimming Club, Manchester",29.2
Paka,23.0
Paka V,30.0
Pakaria,40.5
Pakistan,25.1353711790393
Palau,22.708333333333332
Palestine,24.954545454545453
Pam,42.0
Pampero,32.666666666666664
Pan,34.9
Pan II,38.666666666666664
Pan-Hellenic Athletic Club,24.0
Panama,24.834862385321102
Pandora,32.0
Pannonia RC/National RC,26.0
Papua New Guinea,24.2625
Paraguay,24.18032786885246
Partenope,38.0
Pasodoble,29.0
Patricia,38.5
Paula,40.0
Pegaso,39.0
People's Republic of China,28.876
Peri,27.5
Peri II,30.5
Persey,30.333333333333332
Peru,25.11529411764706
Philippines,25.621145374449338
Phoenix,35.333333333333336
Pierre et Jean-3,40.0
Pigoule,32.5
Pimm,42.5
Pistoja/Firenze,19.0
Poland,26.002341920374707
Poland-1,25.333333333333332
Poland-2,23.473684210526315
Poland-3,21.5
Polyteknisk Roklub-1,23.0
Portugal,27.462630085146643
Portugal-1,25.0
Portugal-2,20.5
Posillipo III,30.666666666666668
Potsdam,26.0
Pousse-Moi Pas VII,30.0
Primorka,38.5
Proteus II,32.0
Puerto Rico,25.941011235955056
Puerto Rico-1,30.5
Puerto Rico-2,27.5
Pupilles de Neptune de Lille #1-3,20.0
Pupilles de Neptune de Lille #2-1,18.0
Qatar,23.444444444444443
Qu'Importe,27.8
Quand-Mme-2,36.0
Quand-Mme-33,25.5
Quicksilver-2,40.0
"R.-V. Germania, Leitmeritz",23.6
RPC,30.348360655737704
Racing Club de France,23.0
Raili,38.333333333333336
Ral-Club Barcelona,17.0
Ralia,45.8
Rampage,37.5
Ravenswood Boat Club-2,25.0
Red Dragon,51.0
Red Indian,37.0
Refugee Olympic Athletes,24.4
Refugee Paralympic Team,27.833333333333332
Republic of Korea,39.811764705882354
Republic of Moldova,33.5
Rhodesia,25.5
Rhythm,23.0
Riccar,29.5
Rififi,34.0
Rika II,49.666666666666664
Roddklubben af 1912-1,21.8
Roddklubben af 1912-2,21.333333333333332
Roehampton-1,36.0
Roklubb Kbnhavn-2,21.4
Romania,24.990751909931646
Romania-1,27.794871794871796
Romania-2,27.162790697674417
Romolo,31.5
Rose Pompon,39.666666666666664
Rostock,35.0
Rowing Club Castillon-3,28.5
Roy,30.0
Royal Club Nautique de Gand,24.571428571428573
Rush IV,30.0
Rush V,42.666666666666664
Rush VII,40.666666666666664
Russia,25.82017412188532
Russia-1,26.446153846153845
Russia-2,25.87142857142857
Russia-3,23.9
Rwanda,25.950819672131146
Saar,25.416666666666668
Sabre,32.666666666666664
Saga-2,37.8
SagaII,24.0
Saint Kitts and Nevis,24.535714285714285
Saint Lucia,24.115384615384617
Saint Vincent and the Grenadines,21.555555555555557
Salamander,30.0
Samoa,25.35593220338983
San Marino,26.943661971830984
Sandra,36.0
Sans Atout-1,22.8
Santa Maria,44.0
Sao Tome and Principe,23.066666666666666
Saskia,31.833333333333332
Sass-2,37.666666666666664
Saudi Arabia,24.81142857142857
Scaup,19.0
Scotia,29.333333333333332
Scotland,29.875
Scotland-3,27.0
Scram,28.5
Sea Dog-2,31.0
Seawanhaka Boat Club-1,27.0
Senegal,25.97377049180328
Serbia,26.927745664739884
Serbia and Montenegro,25.27173913043478
Serendipity,39.666666666666664
Seychelles,23.301204819277107
Sheerio,34.166666666666664
Shoveller,44.333333333333336
Shrew II,45.0
Siames-Cat,42.0
Sibindi-2,55.0
Sierra Leone,22.573333333333334
Sif,26.0
Sildra-1,25.75
Silja,36.666666666666664
Singapore,24.752380952380953
Singapore-1,30.0
