Nombre,Genero,Medallas
Claudia Lorena Hernndez Salas,Femenino,0
Claudia Novelo,Femenino,0
Claudia Rivas Vega,Femenino,0
Claudio Surez Snchez,Masculino,0
Clemente Meja Avila,Masculino,0
Crisanto Grajales Valencia,Masculino,0
Cristian Bejarano Bentez,Masculino,1
Cristina Fink-Sisniega (-Smith),Femenino,0
Cristobal Alejandro Aburto Tinoco,Masculino,0
Cristobal Egerstrom Ericksson,Masculino,0
Csar Augusto Mucio Arvizu,Masculino,0
Csar Borja Pineda,Masculino,0
Csar Herrera,Masculino,0
Csar Jasib Montes Castro,Masculino,0
Csar Morales Velsquez,Masculino,0
Csar Ortz Campos,Masculino,0
Csar Osuna Brambila,Masculino,0
Csar Snchez,Masculino,0
Csar del Rio Gil,Masculino,0
Cuauhtli Tonatiuh  Gutirrez Olguin,Masculino,0
Cuauhtmoc Blanco Bravo,Masculino,0
Cuauthmoc Muoz,Masculino,0
Dagmar Erdman,Femenino,0
Damaris Gabriela Aguirre Aldaz,Femenino,0
Damian lvarez Arcos,Masculino,0
Daniel Aceves Villagrn,Masculino,1
Daniel Armando Ponce de Leon Mndez,Masculino,0
Daniel Bautista Rocha,Masculino,1
Daniel Chvez Cepeda,Masculino,0
Daniel Corral Barrn,Masculino,0
Daniel Escalante,Masculino,0
Daniel Eslava,Masculino,0
Daniel Garca Crdova,Masculino,0
Daniel Gmez Bilbao,Masculino,0
Daniel Gmez Tanamachi,Masculino,0
Daniel Mjica Rapoza,Masculino,0
Daniel Razo Mrquez,Masculino,0
Daniel Vargas Osorio,Masculino,0
Daniel Zaragoza,Masculino,0
Daniel de Jess Vargas Snchez,Masculino,0
Daniela Campuzano Chvez Pen,Femenino,0
Dario Aguilar Gonzlez,Masculino,0
Darvin Francisco Chvez Ramrez,Masculino,1
David Alkon Gruspan,Masculino,0
David Mauricio Mier y Tern Cuevas,Masculino,0
David Meja Hernndez,Masculino,0
David Pimentel McConish,Masculino,0
David Regalado ngel,Masculino,0
David Roberto Brcena Ros,Masculino,1
David Romero Vargas,Masculino,0
David Trejo Snchez,Masculino,0
David Vctor Manuel Sevilla Camacho,Masculino,0
Dborah Weil (-Coldwell-),Femenino,0
Deallado Ral Taln (Talon-),Masculino,0
Debora Oakley Gonzlez,Femenino,0
Delmiro Bernal Contreras,Masculino,0
Demita Vega de Lille,Femenino,0
Denisse Lpez Sing,Femenino,0
Deyanira Angulo Chias,Femenino,0
Diana Encinas Evans,Femenino,0
Didier Meja Esquivel,Masculino,0
Diego Alan del Real Galindo,Masculino,0
Diego Alfonso Martnez Balderas,Masculino,0
Diego Antonio Reyes Rosales,Masculino,1
Diego Garca,Masculino,0
Diego Garca de Len,Masculino,0
Diego Mariscal Abascal,Masculino,0
Dimas Camilo Corts,Masculino,0
Dionicio Cern Pizarro,Masculino,0
Dioselina Valderrama Reyes,Femenino,0
Dolores Hernndez Monzon,Femenino,0
Domingo Coln Martnez,Masculino,0
Domingo Gonzlez Ramirez,Masculino,0
Dora Hilda Hernndez,Femenino,0
Duilio Csar Jean Pierre Davino Rodrguez,Masculino,0
Dulce Mara Rodrguez de la Cruz,Femenino,0
E. Martn Alarcn Isidro,Masculino,0
ECHEVERRIA Omar,Male,0
ENRIQUEZ GONZALEZ Bryan Leonel,Male,0
ESTRADA BERNAL Floralia,Female,0
Edel Ojeda Malpica,Masculino,0
Edgar Alejandro Rivera Morales,Masculino,0
Edgar Chumacero Hernndez,Masculino,0
Edgar Israel Ruiz Burgos,Masculino,0
Edgar Morales de la Rosa,Masculino,0
Edna Guadalupe Carrillo Torres,Femenino,0
Eduardo Alans Guerrero,Masculino,0
Eduardo Ampudia Nio de Rivera,Masculino,0
Eduardo Arrillaga Arjona,Masculino,0
Eduardo Assam Rabay,Masculino,0
Eduardo Avelino Magaa Poot,Masculino,0
Eduardo Castro Almanza,Masculino,0
Eduardo Estrada Ojeda,Masculino,0
Eduardo Garduo Gmez,Masculino,0
Eduardo Graciano Snchez,Masculino,0
Eduardo Higareda Usi,Masculino,0
Eduardo Jimnez,Masculino,0
Eduardo Joaqun Prieto Souza,Masculino,0
Eduardo M. Florez,Masculino,0
Eduardo Moreno,Masculino,0
Eduardo Morillo,Masculino,0
Eduardo Nava Alcantara,Masculino,0
Eduardo Olivera Lastra,Masculino,0
Eduardo Prez,Masculino,0
Eduardo Rergis Pacheco,Masculino,0
Eduardo Rueda Pedroza,Masculino,0
Eduardo Sixtos,Masculino,0
Eduardo Tovar Flores,Masculino,0
Eduardo Uribe,Masculino,0
Eduardo Zazueta Ruiz,Masculino,0
Efrain Loza Barba,Masculino,0
Efrn Fierro Manly,Masculino,0
Eladio Campos Aleman,Masculino,0
Elas Eliseo Emigdio Abarca,Masculino,0
Elas Muoz Rios,Masculino,0
Eliane Fierro,Femenino,0
Eligio Cervantes Islas,Masculino,0
