Equipo,Juegos,Año,Medalla_Oro
Japan,1964 Verano,1964-01-01,32
Japan,1968 Invierno,1968-01-01,0
Japan,1968 Verano,1968-01-01,16
Japan,1972 Invierno,1972-01-01,1
Japan,1972 Verano,1972-01-01,29
Japan,1976 Invierno,1976-01-01,0
Japan,1976 Verano,1976-01-01,25
Japan,1980 Invierno,1980-01-01,0
Japan,1984 Invierno,1984-01-01,0
Japan,1984 Verano,1984-01-01,10
Japan,1988 Invierno,1988-01-01,0
Japan,1988 Verano,1988-01-01,4
Japan,1992 Invierno,1992-01-01,3
Japan,1992 Verano,1992-01-01,3
Japan,1994 Invierno,1994-01-01,3
Japan,1996 Verano,1996-01-01,3
Japan,1998 Invierno,1998-01-01,8
Japan,2000 Verano,2000-01-01,5
Japan,2002 Invierno,2002-01-01,0
Japan,2004 Verano,2004-01-01,21
Japan,2006 Invierno,2006-01-01,1
Japan,2008 Verano,2008-01-01,23
Japan,2010 Invierno,2010-01-01,0
Japan,2012 Verano,2012-01-01,7
Japan,2014 Invierno,2014-01-01,1
Japan,2016 Verano,2016-01-01,17
Japan,2020 Verano,2020-01-01,12
Japan-1,1924 Verano,1924-01-01,0
Japan-1,1972 Invierno,1972-01-01,0
Japan-1,1976 Invierno,1976-01-01,0
Japan-1,1984 Invierno,1984-01-01,0
Japan-1,1988 Invierno,1988-01-01,0
Japan-1,1988 Verano,1988-01-01,0
Japan-1,1992 Invierno,1992-01-01,0
Japan-1,1992 Verano,1992-01-01,0
Japan-1,1994 Invierno,1994-01-01,0
Japan-1,1996 Verano,1996-01-01,0
Japan-1,1998 Invierno,1998-01-01,0
Japan-1,2000 Verano,2000-01-01,0
Japan-1,2002 Invierno,2002-01-01,0
Japan-1,2004 Verano,2004-01-01,0
Japan-1,2008 Verano,2008-01-01,0
Japan-1,2012 Verano,2012-01-01,0
Japan-2,1924 Verano,1924-01-01,0
Japan-2,1972 Invierno,1972-01-01,0
Japan-2,1976 Invierno,1976-01-01,0
Japan-2,1984 Invierno,1984-01-01,0
Japan-2,1988 Invierno,1988-01-01,0
Japan-2,1988 Verano,1988-01-01,0
Japan-2,1992 Invierno,1992-01-01,0
Japan-2,1992 Verano,1992-01-01,0
Japan-2,1994 Invierno,1994-01-01,0
Japan-2,1996 Verano,1996-01-01,0
Japan-2,1998 Invierno,1998-01-01,0
Japan-2,2000 Verano,2000-01-01,0
Japan-2,2002 Invierno,2002-01-01,0
Japan-2,2004 Verano,2004-01-01,0
Japan-2,2008 Verano,2008-01-01,0
Japan-2,2012 Verano,2012-01-01,0
Japan-3,1992 Verano,1992-01-01,0
Jeanette-25,1900 Verano,1900-01-01,0
Jeannette-18,1900 Verano,1900-01-01,0
Jest,1956 Verano,1956-01-01,2
Jet,1952 Verano,1952-01-01,0
Jill,1952 Verano,1952-01-01,0
Jo,1920 Verano,1920-01-01,3
Johan,1948 Verano,1948-01-01,0
John B,1960 Verano,1960-01-01,0
John B,1964 Verano,1964-01-01,0
Jordan,1980 Verano,1980-01-01,0
Jordan,1984 Verano,1984-01-01,0
Jordan,1988 Verano,1988-01-01,0
Jordan,1992 Verano,1992-01-01,0
Jordan,1996 Verano,1996-01-01,0
Jordan,2000 Verano,2000-01-01,0
Jordan,2004 Verano,2004-01-01,0
Jordan,2008 Verano,2008-01-01,0
Jordan,2012 Verano,2012-01-01,0
Jordan,2016 Verano,2016-01-01,1
Jordan,2020 Verano,2020-01-01,4
Joy,1932 Verano,1932-01-01,0
Joy,1948 Verano,1948-01-01,0
June Climene,1960 Verano,1960-01-01,0
Jupiter,1932 Verano,1932-01-01,2
K Division Metropolitan Police Team-3,1908 Verano,1908-01-01,0
K.S.S.S. 1912-2,1912 Verano,1912-01-01,0
KNS,1936 Verano,1936-01-01,0
Kalayaan,1964 Verano,1964-01-01,0
Kannibaltje,1956 Verano,1956-01-01,0
Kathleen,1956 Verano,1956-01-01,2
Kazakhstan,1994 Invierno,1994-01-01,1
Kazakhstan,1996 Verano,1996-01-01,3
Kazakhstan,1998 Invierno,1998-01-01,0
Kazakhstan,2000 Verano,2000-01-01,3
Kazakhstan,2002 Invierno,2002-01-01,0
Kazakhstan,2004 Verano,2004-01-01,1
Kazakhstan,2006 Invierno,2006-01-01,0
Kazakhstan,2008 Verano,2008-01-01,2
Kazakhstan,2010 Invierno,2010-01-01,0
Kazakhstan,2012 Verano,2012-01-01,7
Kazakhstan,2014 Invierno,2014-01-01,0
Kazakhstan,2016 Verano,2016-01-01,3
Kazakhstan,2020 Verano,2020-01-01,1
Kemphaan,1928 Verano,1928-01-01,0
Kenya,1956 Verano,1956-01-01,0
Kenya,1960 Verano,1960-01-01,0
Kenya,1964 Verano,1964-01-01,0
Kenya,1968 Verano,1968-01-01,3
Kenya,1972 Verano,1972-01-01,5
Kenya,1984 Verano,1984-01-01,1
Kenya,1988 Verano,1988-01-01,5
Kenya,1992 Verano,1992-01-01,2
Kenya,1996 Verano,1996-01-01,1
Kenya,1998 Invierno,1998-01-01,0
Kenya,2000 Verano,2000-01-01,2
Kenya,2002 Invierno,2002-01-01,0
Kenya,2004 Verano,2004-01-01,1
Kenya,2006 Invierno,2006-01-01,0
Kenya,2008 Verano,2008-01-01,6
Kenya,2012 Verano,2012-01-01,2
Kenya,2016 Verano,2016-01-01,6
Kenya,2020 Verano,2020-01-01,0
Kerstin-1,1912 Verano,1912-01-01,0
Kiel,1936 Verano,1936-01-01,0
Kingfisher,1956 Verano,1956-01-01,0
Kiribati,2004 Verano,2004-01-01,0
Kiribati,2008 Verano,2008-01-01,0
Kiribati,2012 Verano,2012-01-01,0
Kiribati,2016 Verano,2016-01-01,0
Kitty-1,1912 Verano,1912-01-01,8
Kln,1936 Verano,1936-01-01,0
Knigsberg,1936 Verano,1936-01-01,0
Kon-Tiki,1956 Verano,1956-01-01,0
Konstanz,1936 Verano,1936-01-01,0
Korshun,1952 Verano,1952-01-01,0
Kosovo,2016 Verano,2016-01-01,1
Kristiania Roklub,1912 Verano,1912-01-01,0
Kristiania Roklub-1,1912 Verano,1912-01-01,0
Kuling,1964 Verano,1964-01-01,0
Kullan,1920 Verano,1920-01-01,3
Kurush II,1948 Verano,1948-01-01,0
Kurush IV,1952 Verano,1952-01-01,0
Kurush IV,1956 Verano,1956-01-01,0
Kuwait,1968 Verano,1968-01-01,0
Kuwait,1972 Verano,1972-01-01,0
Kuwait,1976 Verano,1976-01-01,0
Kuwait,1980 Verano,1980-01-01,0
Kuwait,1984 Verano,1984-01-01,0
Kuwait,1988 Verano,1988-01-01,0
Kuwait,1992 Verano,1992-01-01,0
Kuwait,1996 Verano,1996-01-01,0
Kuwait,2000 Verano,2000-01-01,0
Kuwait,2004 Verano,2004-01-01,0
Kuwait,2008 Verano,2008-01-01,0
Kuwait,2012 Verano,2012-01-01,0
Kuwait,2020 Verano,2020-01-01,0
Kyrgyzstan,1994 Invierno,1994-01-01,0
Kyrgyzstan,1996 Verano,1996-01-01,0
Kyrgyzstan,1998 Invierno,1998-01-01,0
Kyrgyzstan,2000 Verano,2000-01-01,0
Kyrgyzstan,2002 Invierno,2002-01-01,0
Kyrgyzstan,2004 Verano,2004-01-01,0
Kyrgyzstan,2006 Invierno,2006-01-01,0
Kyrgyzstan,2008 Verano,2008-01-01,0
Kyrgyzstan,2010 Invierno,2010-01-01,0
Kyrgyzstan,2012 Verano,2012-01-01,0
Kyrgyzstan,2014 Invierno,2014-01-01,0
Kyrgyzstan,2016 Verano,2016-01-01,0
Kyrgyzstan,2020 Verano,2020-01-01,0
L'Aile VI,1928 Verano,1928-01-01,6
"La Salle Turnverein, Chicago",1904 Verano,1904-01-01,0
LaBandera,1948 Verano,1948-01-01,0
Lady C,1964 Verano,1964-01-01,0
Lalage,1936 Verano,1936-01-01,5
Lalage,1948 Verano,1948-01-01,0
Lancet,2008 Verano,2008-01-01,0
Lao People's Democratic Republic,2020 Verano,2020-01-01,0
Laos,1980 Verano,1980-01-01,0
Laos,1988 Verano,1988-01-01,0
Laos,1992 Verano,1992-01-01,0
Laos,1996 Verano,1996-01-01,0
Laos,2000 Verano,2000-01-01,0
Laos,2004 Verano,2004-01-01,0
Laos,2008 Verano,2008-01-01,0
Laos,2012 Verano,2012-01-01,0
Laos,2016 Verano,2016-01-01,0
"Large boat, Central Naval Prep School ""Poros""-1",1906 Verano,1906-01-01,17
Lasha,1960 Verano,1960-01-01,0
Latvia,1924 Invierno,1924-01-01,0
Latvia,1924 Verano,1924-01-01,0
Latvia,1928 Invierno,1928-01-01,0
Latvia,1928 Verano,1928-01-01,0
Latvia,1932 Verano,1932-01-01,0
Latvia,1936 Invierno,1936-01-01,0
Latvia,1936 Verano,1936-01-01,0
Latvia,1992 Invierno,1992-01-01,0
Latvia,1992 Verano,1992-01-01,0
Latvia,1994 Invierno,1994-01-01,0
Latvia,1996 Verano,1996-01-01,0
Latvia,1998 Invierno,1998-01-01,0
Latvia,2000 Verano,2000-01-01,1
Latvia,2002 Invierno,2002-01-01,0
Latvia,2004 Verano,2004-01-01,0
Latvia,2006 Invierno,2006-01-01,0
Latvia,2008 Verano,2008-01-01,1
Latvia,2010 Invierno,2010-01-01,0
Latvia,2012 Verano,2012-01-01,1
Latvia,2014 Invierno,2014-01-01,0
Latvia,2016 Verano,2016-01-01,0
Latvia,2020 Verano,2020-01-01,0
Latvia-1,1992 Invierno,1992-01-01,0
Latvia-1,1994 Invierno,1994-01-01,0
Latvia-1,1998 Invierno,1998-01-01,0
Latvia-1,2002 Invierno,2002-01-01,0
Latvia-1,2006 Invierno,2006-01-01,0
Latvia-1,2010 Invierno,2010-01-01,0
Latvia-1,2012 Verano,2012-01-01,0
Latvia-1,2014 Invierno,2014-01-01,0
Latvia-2,1992 Invierno,1992-01-01,0
Latvia-2,1994 Invierno,1994-01-01,0
Latvia-2,1998 Invierno,1998-01-01,0
Latvia-2,2002 Invierno,2002-01-01,0
Latvia-2,2006 Invierno,2006-01-01,0
Latvia-2,2010 Invierno,2010-01-01,0
Latvia-2,2012 Verano,2012-01-01,0
Latvia-2,2014 Invierno,2014-01-01,0
Laurea-1,1900 Verano,1900-01-01,0
Lbeck,1936 Verano,1936-01-01,0
Leander Club #1-1,1908 Verano,1908-01-01,2
Leander Club #2-2,1908 Verano,1908-01-01,0
Leander Club-1,1908 Verano,1908-01-01,9
Leander Club-1,1912 Verano,1912-01-01,9
Leander Club-2,1908 Verano,1908-01-01,0
Lebanon,1948 Invierno,1948-01-01,0
Lebanon,1948 Verano,1948-01-01,0
Lebanon,1952 Invierno,1952-01-01,0
Lebanon,1952 Verano,1952-01-01,0
Lebanon,1956 Invierno,1956-01-01,0
Lebanon,1960 Invierno,1960-01-01,0
Lebanon,1960 Verano,1960-01-01,0
Lebanon,1964 Invierno,1964-01-01,0
Lebanon,1964 Verano,1964-01-01,0
Lebanon,1968 Invierno,1968-01-01,0
Lebanon,1968 Verano,1968-01-01,0
Lebanon,1972 Invierno,1972-01-01,0
Lebanon,1972 Verano,1972-01-01,0
Lebanon,1976 Invierno,1976-01-01,0
Lebanon,1976 Verano,1976-01-01,0
Lebanon,1980 Invierno,1980-01-01,0
Lebanon,1980 Verano,1980-01-01,0
Lebanon,1984 Invierno,1984-01-01,0
Lebanon,1984 Verano,1984-01-01,0
Lebanon,1988 Invierno,1988-01-01,0
Lebanon,1988 Verano,1988-01-01,0
Lebanon,1992 Invierno,1992-01-01,0
Lebanon,1992 Verano,1992-01-01,0
Lebanon,1996 Verano,1996-01-01,0
Lebanon,2000 Verano,2000-01-01,0
Lebanon,2002 Invierno,2002-01-01,0
Lebanon,2004 Verano,2004-01-01,0
Lebanon,2006 Invierno,2006-01-01,0
Lebanon,2008 Verano,2008-01-01,0
Lebanon,2010 Invierno,2010-01-01,0
Lebanon,2012 Verano,2012-01-01,0
Lebanon,2014 Invierno,2014-01-01,0
Lebanon,2016 Verano,2016-01-01,0
Lebanon,2020 Verano,2020-01-01,0
Legionario,1948 Verano,1948-01-01,0
Leipzig,1936 Verano,1936-01-01,0
"Lemzos Thorichton ""Psara""-3",1906 Verano,1906-01-01,0
"Lemzos Thorichton ""Spetsai""-4",1906 Verano,1906-01-01,0
Lerina,1900 Verano,1900-01-01,3
Lesotho,1972 Verano,1972-01-01,0
Lesotho,1980 Verano,1980-01-01,0
Lesotho,1984 Verano,1984-01-01,0
Lesotho,1988 Verano,1988-01-01,0
Lesotho,1992 Verano,1992-01-01,0
Lesotho,1996 Verano,1996-01-01,0
Lesotho,2000 Verano,2000-01-01,0
Lesotho,2004 Verano,2004-01-01,0
Lesotho,2008 Verano,2008-01-01,0
Lesotho,2012 Verano,2012-01-01,0
Lesotho,2016 Verano,2016-01-01,0
Lesotho,2020 Verano,2020-01-01,0
Lett,1960 Verano,1960-01-01,0
Libellule de Paris,1900 Verano,1900-01-01,0
Libellule de Paris-3,1900 Verano,1900-01-01,0
Liberia,1956 Verano,1956-01-01,0
Liberia,1960 Verano,1960-01-01,0
Liberia,1964 Verano,1964-01-01,0
Liberia,1972 Verano,1972-01-01,0
Liberia,1984 Verano,1984-01-01,0
Liberia,1988 Verano,1988-01-01,0
Liberia,1996 Verano,1996-01-01,0
Liberia,2000 Verano,2000-01-01,0
Liberia,2004 Verano,2004-01-01,0
Liberia,2008 Verano,2008-01-01,0
Liberia,2012 Verano,2012-01-01,0
Liberia,2016 Verano,2016-01-01,0
Liberia,2020 Verano,2020-01-01,0
Libya,1968 Verano,1968-01-01,0
Libya,1980 Verano,1980-01-01,0
Libya,1988 Verano,1988-01-01,0
Libya,1992 Verano,1992-01-01,0
Libya,1996 Verano,1996-01-01,0
Libya,2000 Verano,2000-01-01,0
Libya,2004 Verano,2004-01-01,0
Libya,2008 Verano,2008-01-01,0
Libya,2012 Verano,2012-01-01,0
Libya,2016 Verano,2016-01-01,0
Libya,2020 Verano,2020-01-01,0
Liechtenstein,1936 Invierno,1936-01-01,0
Liechtenstein,1936 Verano,1936-01-01,0
Liechtenstein,1948 Invierno,1948-01-01,0
Liechtenstein,1948 Verano,1948-01-01,0
Liechtenstein,1952 Verano,1952-01-01,0
Liechtenstein,1956 Invierno,1956-01-01,0
Liechtenstein,1960 Invierno,1960-01-01,0
Liechtenstein,1960 Verano,1960-01-01,0
Liechtenstein,1964 Invierno,1964-01-01,0
Liechtenstein,1964 Verano,1964-01-01,0
Liechtenstein,1968 Invierno,1968-01-01,0
Liechtenstein,1968 Verano,1968-01-01,0
Liechtenstein,1972 Invierno,1972-01-01,0
Liechtenstein,1972 Verano,1972-01-01,0
Liechtenstein,1976 Invierno,1976-01-01,0
Liechtenstein,1976 Verano,1976-01-01,0
Liechtenstein,1980 Invierno,1980-01-01,2
Liechtenstein,1984 Invierno,1984-01-01,0
Liechtenstein,1984 Verano,1984-01-01,0
Liechtenstein,1988 Invierno,1988-01-01,0
Liechtenstein,1988 Verano,1988-01-01,0
Liechtenstein,1992 Invierno,1992-01-01,0
Liechtenstein,1992 Verano,1992-01-01,0
Liechtenstein,1994 Invierno,1994-01-01,0
Liechtenstein,1996 Verano,1996-01-01,0
Liechtenstein,1998 Invierno,1998-01-01,0
Liechtenstein,2000 Verano,2000-01-01,0
Liechtenstein,2002 Invierno,2002-01-01,0
Liechtenstein,2004 Verano,2004-01-01,0
Liechtenstein,2006 Invierno,2006-01-01,0
Liechtenstein,2008 Verano,2008-01-01,0
Liechtenstein,2010 Invierno,2010-01-01,0
Liechtenstein,2012 Verano,2012-01-01,0
Liechtenstein,2014 Invierno,2014-01-01,0
Liechtenstein,2016 Verano,2016-01-01,0
"Life boat naval ship ""Spetsai""-1",1906 Verano,1906-01-01,0
Linglom,1964 Verano,1964-01-01,0
Lithuania,1924 Verano,1924-01-01,0
Lithuania,1928 Invierno,1928-01-01,0
Lithuania,1928 Verano,1928-01-01,0
Lithuania,1992 Invierno,1992-01-01,0
Lithuania,1992 Verano,1992-01-01,1
Lithuania,1994 Invierno,1994-01-01,0
Lithuania,1996 Verano,1996-01-01,0
Lithuania,1998 Invierno,1998-01-01,0
Lithuania,2000 Verano,2000-01-01,2
Lithuania,2002 Invierno,2002-01-01,0
Lithuania,2004 Verano,2004-01-01,1
Lithuania,2006 Invierno,2006-01-01,0
Lithuania,2008 Verano,2008-01-01,0
Lithuania,2010 Invierno,2010-01-01,0
Lithuania,2012 Verano,2012-01-01,2
Lithuania,2014 Invierno,2014-01-01,0
Lithuania,2016 Verano,2016-01-01,0
Lithuania,2020 Verano,2020-01-01,0
Liverpool Police Team-2,1908 Verano,1908-01-01,0
Llanoria,1948 Verano,1948-01-01,5
Llanoria,1952 Verano,1952-01-01,6
London City Police-1,1908 Verano,1908-01-01,8
Lotta IV,1948 Verano,1948-01-01,0
Lotta IV,1952 Verano,1952-01-01,0
Lucky,1964 Verano,1964-01-01,0
Lucky Girl-1,1912 Verano,1912-01-01,0
Lucky Star,1948 Verano,1948-01-01,0
Lucky Star,1952 Verano,1952-01-01,0
Lucky Star,2008 Verano,2008-01-01,0
Ludwigshafener Ruder Verein-1,1900 Verano,1900-01-01,0
Ludwigshafener Ruderverein,1912 Verano,1912-01-01,5
Lully II,1936 Verano,1936-01-01,0
Luxembourg,1900 Verano,1900-01-01,1
Luxembourg,1912 Verano,1912-01-01,0
Luxembourg,1920 Verano,1920-01-01,0
Luxembourg,1924 Verano,1924-01-01,1
Luxembourg,1928 Invierno,1928-01-01,0
Luxembourg,1928 Verano,1928-01-01,1
Luxembourg,1932 Verano,1932-01-01,0
Luxembourg,1936 Invierno,1936-01-01,0
Luxembourg,1936 Verano,1936-01-01,0
Luxembourg,1948 Verano,1948-01-01,0
Luxembourg,1952 Verano,1952-01-01,1
Luxembourg,1956 Verano,1956-01-01,0
Luxembourg,1960 Verano,1960-01-01,0
Luxembourg,1964 Verano,1964-01-01,0
Luxembourg,1968 Verano,1968-01-01,0
Luxembourg,1972 Verano,1972-01-01,0
Luxembourg,1976 Verano,1976-01-01,0
Luxembourg,1980 Verano,1980-01-01,0
Luxembourg,1984 Verano,1984-01-01,0
Luxembourg,1988 Invierno,1988-01-01,0
Luxembourg,1988 Verano,1988-01-01,0
Luxembourg,1992 Invierno,1992-01-01,0
Luxembourg,1992 Verano,1992-01-01,0
Luxembourg,1994 Invierno,1994-01-01,0
Luxembourg,1996 Verano,1996-01-01,0
Luxembourg,1998 Invierno,1998-01-01,0
Luxembourg,2000 Verano,2000-01-01,0
Luxembourg,2004 Verano,2004-01-01,0
Luxembourg,2006 Invierno,2006-01-01,0
Luxembourg,2008 Verano,2008-01-01,0
Luxembourg,2012 Verano,2012-01-01,0
Luxembourg,2014 Invierno,2014-01-01,0
Luxembourg,2016 Verano,2016-01-01,0
Luxembourg,2020 Verano,2020-01-01,0
Luxembourg-1,1936 Invierno,1936-01-01,0
Luxembourg-2,1936 Invierno,1936-01-01,0
Lyn-2,1920 Verano,1920-01-01,0
Lynn,1936 Verano,1936-01-01,0
Ma'Lindo,1960 Verano,1960-01-01,0
Mac Miche,1912 Verano,1912-01-01,3
Macedonia,1996 Verano,1996-01-01,0
Macedonia,1998 Invierno,1998-01-01,0
Macedonia,2000 Verano,2000-01-01,0
Macedonia,2002 Invierno,2002-01-01,0
Macedonia,2004 Verano,2004-01-01,0
Macedonia,2006 Invierno,2006-01-01,0
Macedonia,2008 Verano,2008-01-01,0
Macedonia,2010 Invierno,2010-01-01,0
Macedonia,2012 Verano,2012-01-01,0
Macedonia,2014 Invierno,2014-01-01,0
Macedonia,2016 Verano,2016-01-01,0
Macky VI,1960 Verano,1960-01-01,0
Mad Dog,1960 Verano,1960-01-01,0
Madagascar,1964 Verano,1964-01-01,0
Madagascar,1968 Verano,1968-01-01,0
Madagascar,1972 Verano,1972-01-01,0
Madagascar,1980 Verano,1980-01-01,0
Madagascar,1984 Verano,1984-01-01,0
Madagascar,1992 Verano,1992-01-01,0
Madagascar,1996 Verano,1996-01-01,0
Madagascar,2000 Verano,2000-01-01,0
Madagascar,2004 Verano,2004-01-01,0
Madagascar,2006 Invierno,2006-01-01,0
Madagascar,2008 Verano,2008-01-01,0
Madagascar,2012 Verano,2012-01-01,0
Madagascar,2016 Verano,2016-01-01,0
Madagascar,2020 Verano,2020-01-01,0
Magda IX,1912 Verano,1912-01-01,10
Magdalen College Boat Club-1,1908 Verano,1908-01-01,4
Maid of Lebanon,1960 Verano,1960-01-01,0
Mainz,1936 Verano,1936-01-01,0
Malawi,1972 Verano,1972-01-01,0
Malawi,1984 Verano,1984-01-01,0
Malawi,1988 Verano,1988-01-01,0
Malawi,1992 Verano,1992-01-01,0
Malawi,1996 Verano,1996-01-01,0
Malawi,2000 Verano,2000-01-01,0
Malawi,2004 Verano,2004-01-01,0
Malawi,2008 Verano,2008-01-01,0
Malawi,2012 Verano,2012-01-01,0
Malawi,2016 Verano,2016-01-01,0
Malawi,2020 Verano,2020-01-01,0
Malaya,1956 Verano,1956-01-01,0
Malaya,1960 Verano,1960-01-01,0
Malaysia,1964 Verano,1964-01-01,0
Malaysia,1968 Verano,1968-01-01,0
Malaysia,1972 Verano,1972-01-01,0
Malaysia,1976 Verano,1976-01-01,0
Malaysia,1984 Verano,1984-01-01,0
Malaysia,1988 Verano,1988-01-01,0
Malaysia,1992 Verano,1992-01-01,0
Malaysia,1996 Verano,1996-01-01,0
Malaysia,2000 Verano,2000-01-01,0
Malaysia,2004 Verano,2004-01-01,0
Malaysia,2008 Verano,2008-01-01,0
Malaysia,2012 Verano,2012-01-01,0
Malaysia,2016 Verano,2016-01-01,0
Malaysia,2020 Verano,2020-01-01,3
Malaysia-1,1992 Verano,1992-01-01,0
Malaysia-1,1996 Verano,1996-01-01,0
Malaysia-1,2000 Verano,2000-01-01,0
Malaysia-1,2004 Verano,2004-01-01,0
Malaysia-1,2008 Verano,2008-01-01,0
Malaysia-2,1992 Verano,1992-01-01,0
Malaysia-2,1996 Verano,1996-01-01,0
Malaysia-2,2000 Verano,2000-01-01,0
Malaysia-2,2004 Verano,2004-01-01,0
Malaysia-2,2008 Verano,2008-01-01,0
Maldives,1988 Verano,1988-01-01,0
Maldives,1992 Verano,1992-01-01,0
Maldives,1996 Verano,1996-01-01,0
Maldives,2000 Verano,2000-01-01,0
Maldives,2004 Verano,2004-01-01,0
Maldives,2008 Verano,2008-01-01,0
Maldives,2012 Verano,2012-01-01,0
Maldives,2016 Verano,2016-01-01,0
Maldives,2020 Verano,2020-01-01,0
Mali,1964 Verano,1964-01-01,0
Mali,1968 Verano,1968-01-01,0
Mali,1972 Verano,1972-01-01,0
Mali,1980 Verano,1980-01-01,0
Mali,1984 Verano,1984-01-01,0
Mali,1988 Verano,1988-01-01,0
Mali,1992 Verano,1992-01-01,0
Mali,1996 Verano,1996-01-01,0
Mali,2000 Verano,2000-01-01,0
Mali,2004 Verano,2004-01-01,0
Mali,2008 Verano,2008-01-01,0
Mali,2012 Verano,2012-01-01,0
Mali,2016 Verano,2016-01-01,0
Mali,2020 Verano,2020-01-01,0
Malta,1928 Verano,1928-01-01,0
Malta,1936 Verano,1936-01-01,0
Malta,1948 Verano,1948-01-01,0
Malta,1960 Verano,1960-01-01,0
Malta,1968 Verano,1968-01-01,0
Malta,1972 Verano,1972-01-01,0
Malta,1980 Verano,1980-01-01,0
Malta,1984 Verano,1984-01-01,0
Malta,1988 Verano,1988-01-01,0
Malta,1992 Verano,1992-01-01,0
Malta,1996 Verano,1996-01-01,0
Malta,2000 Verano,2000-01-01,0
Malta,2004 Verano,2004-01-01,0
Malta,2008 Verano,2008-01-01,0
Malta,2012 Verano,2012-01-01,0
Malta,2014 Invierno,2014-01-01,0
Malta,2016 Verano,2016-01-01,0
Malta,2020 Verano,2020-01-01,0
Mamie-4,1900 Verano,1900-01-01,0
Mamie-6,1900 Verano,1900-01-01,0
Manana,1956 Verano,1956-01-01,0
Marga-2,1912 Verano,1912-01-01,0
Margaret,1948 Verano,1948-01-01,0
Mari,1960 Verano,1960-01-01,0
Marie-Tim,1952 Verano,1952-01-01,0
"Marinai della nave da guerra ""Varese""",1906 Verano,1906-01-01,7
Marmara,1936 Verano,1936-01-01,0
Marmi II-1,1920 Verano,1920-01-01,0
Marshall Islands,2008 Verano,2008-01-01,0
Marshall Islands,2012 Verano,2012-01-01,0
Marshall Islands,2016 Verano,2016-01-01,0
Marsouin-26,1900 Verano,1900-01-01,0
Marsouin-8,1900 Verano,1900-01-01,0
Martha-1,1900 Verano,1900-01-01,0
Martha-27,1900 Verano,1900-01-01,0
Maryke,1964 Verano,1964-01-01,0
Mascaret-28,1900 Verano,1900-01-01,0
Mascaret-4,1900 Verano,1900-01-01,0
Mascotte,1900 Verano,1900-01-01,0
Matrero II,1936 Verano,1936-01-01,0
Mauritania,1984 Verano,1984-01-01,0
Mauritania,1988 Verano,1988-01-01,0
Mauritania,1992 Verano,1992-01-01,0
Mauritania,1996 Verano,1996-01-01,0
Mauritania,2000 Verano,2000-01-01,0
Mauritania,2004 Verano,2004-01-01,0
Mauritania,2008 Verano,2008-01-01,0
Mauritania,2012 Verano,2012-01-01,0
Mauritania,2016 Verano,2016-01-01,0
Mauritius,1984 Verano,1984-01-01,0
Mauritius,1988 Verano,1988-01-01,0
Mauritius,1992 Verano,1992-01-01,0
Mauritius,1996 Verano,1996-01-01,0
Mauritius,2000 Verano,2000-01-01,0
Mauritius,2004 Verano,2004-01-01,0
Mauritius,2008 Verano,2008-01-01,0
Mauritius,2012 Verano,2012-01-01,0
Mauritius,2016 Verano,2016-01-01,0
Mauritius,2020 Verano,2020-01-01,0
Mauritius-1,1996 Verano,1996-01-01,0
Mauritius-2,1996 Verano,1996-01-01,0
May Be,1936 Verano,1936-01-01,0
May Be VII,1952 Verano,1952-01-01,0
May-Be 1960,1960 Verano,1960-01-01,0
Mebi,1924 Verano,1924-01-01,0
Merope,1952 Verano,1952-01-01,2
Merope,1960 Verano,1960-01-01,0
Merope III,1956 Verano,1956-01-01,0
Merope III,1960 Verano,1960-01-01,0
Meteor,1960 Verano,1960-01-01,0
Mexico,1924 Verano,1924-01-01,0
Mexico,1928 Invierno,1928-01-01,0
Mexico,1928 Verano,1928-01-01,0
Mexico,1932 Verano,1932-01-01,0
Mexico,1936 Verano,1936-01-01,0
Mexico,1948 Verano,1948-01-01,4
Mexico,1952 Verano,1952-01-01,0
Mexico,1956 Verano,1956-01-01,1
Mexico,1960 Verano,1960-01-01,0
Mexico,1964 Verano,1964-01-01,0
Mexico,1968 Verano,1968-01-01,3
Mexico,1972 Verano,1972-01-01,0
Mexico,1976 Verano,1976-01-01,1
Mexico,1980 Verano,1980-01-01,0
Mexico,1984 Invierno,1984-01-01,0
Mexico,1984 Verano,1984-01-01,2
Mexico,1988 Invierno,1988-01-01,0
Mexico,1988 Verano,1988-01-01,0
Mexico,1992 Invierno,1992-01-01,0
Mexico,1992 Verano,1992-01-01,0
Mexico,1994 Invierno,1994-01-01,0
Mexico,1996 Verano,1996-01-01,0
Mexico,2000 Verano,2000-01-01,1
Mexico,2002 Invierno,2002-01-01,0
Mexico,2004 Verano,2004-01-01,0
Mexico,2008 Verano,2008-01-01,2
Mexico,2010 Invierno,2010-01-01,0
Mexico,2012 Verano,2012-01-01,16
Mexico,2014 Invierno,2014-01-01,0
Mexico,2016 Verano,2016-01-01,0
Mexico,2020 Verano,2020-01-01,7
Mexico-1,1988 Invierno,1988-01-01,0
Mexico-1,1992 Invierno,1992-01-01,0
Mexico-2,1988 Invierno,1988-01-01,0
Mexico-2,1992 Invierno,1992-01-01,0
Mignon-29,1900 Verano,1900-01-01,0
Mignon-3,1900 Verano,1900-01-01,0
Milwaukee Athletic Club-1,1904 Verano,1904-01-01,5
"Milwaukee Turnverein, Milwaukee",1904 Verano,1904-01-01,0
Minerva Amsterdam,1900 Verano,1900-01-01,3
