Equipo,Juegos,Año,Medalla_Oro
Australia,1906 Verano,1906-01-01,0
Australia,1920 Verano,1920-01-01,0
Australia,1924 Invierno,1924-01-01,1
Australia,1924 Verano,1924-01-01,3
Australia,1928 Verano,1928-01-01,1
Australia,1932 Verano,1932-01-01,3
Australia,1936 Invierno,1936-01-01,0
Australia,1936 Verano,1936-01-01,0
Australia,1948 Verano,1948-01-01,2
Australia,1952 Invierno,1952-01-01,0
Australia,1952 Verano,1952-01-01,7
Australia,1956 Invierno,1956-01-01,0
Australia,1956 Verano,1956-01-01,28
Australia,1960 Invierno,1960-01-01,0
Australia,1960 Verano,1960-01-01,11
Australia,1964 Invierno,1964-01-01,0
Australia,1964 Verano,1964-01-01,5
Australia,1968 Invierno,1968-01-01,0
Australia,1968 Verano,1968-01-01,5
Australia,1972 Invierno,1972-01-01,0
Australia,1972 Verano,1972-01-01,11
Australia,1976 Invierno,1976-01-01,0
Australia,1976 Verano,1976-01-01,0
Australia,1980 Invierno,1980-01-01,0
Australia,1980 Verano,1980-01-01,6
Australia,1984 Invierno,1984-01-01,0
Australia,1984 Verano,1984-01-01,7
Australia,1988 Invierno,1988-01-01,0
Australia,1988 Verano,1988-01-01,18
Australia,1992 Invierno,1992-01-01,0
Australia,1992 Verano,1992-01-01,14
Australia,1994 Invierno,1994-01-01,0
Australia,1996 Verano,1996-01-01,32
Australia,1998 Invierno,1998-01-01,0
Australia,2000 Verano,2000-01-01,58
Australia,2002 Invierno,2002-01-01,2
Australia,2004 Verano,2004-01-01,49
Australia,2006 Invierno,2006-01-01,1
Australia,2008 Verano,2008-01-01,31
Australia,2010 Invierno,2010-01-01,2
Australia,2012 Verano,2012-01-01,18
Australia,2014 Invierno,2014-01-01,0
Australia,2016 Verano,2016-01-01,23
Australia,2020 Verano,2020-01-01,21
Australia-1,1988 Invierno,1988-01-01,0
Australia-1,1996 Verano,1996-01-01,0
Australia-1,2000 Verano,2000-01-01,2
Australia-1,2004 Verano,2004-01-01,0
Australia-1,2008 Verano,2008-01-01,0
Australia-1,2010 Invierno,2010-01-01,0
Australia-1,2012 Verano,2012-01-01,0
Australia-1,2016 Verano,2016-01-01,0
Australia-2,1988 Invierno,1988-01-01,0
Australia-2,1996 Verano,1996-01-01,0
Australia-2,2000 Verano,2000-01-01,0
Australia-2,2004 Verano,2004-01-01,0
Australia-2,2008 Verano,2008-01-01,0
Australia-2,2010 Invierno,2010-01-01,0
Australia-2,2012 Verano,2012-01-01,0
Australia-2,2016 Verano,2016-01-01,0
Australia-3,2000 Verano,2000-01-01,0
Australia/Great Britain,1896 Verano,1896-01-01,0
Austria,1896 Verano,1896-01-01,2
Austria,1900 Verano,1900-01-01,0
Austria,1904 Verano,1904-01-01,1
Austria,1906 Verano,1906-01-01,3
Austria,1908 Verano,1908-01-01,0
Austria,1912 Verano,1912-01-01,0
Austria,1924 Invierno,1924-01-01,3
Austria,1924 Verano,1924-01-01,0
Austria,1928 Invierno,1928-01-01,0
Austria,1928 Verano,1928-01-01,3
Austria,1932 Invierno,1932-01-01,1
Austria,1932 Verano,1932-01-01,1
Austria,1936 Invierno,1936-01-01,1
Austria,1936 Verano,1936-01-01,6
Austria,1948 Invierno,1948-01-01,1
Austria,1948 Verano,1948-01-01,2
Austria,1952 Invierno,1952-01-01,2
Austria,1952 Verano,1952-01-01,0
Austria,1956 Invierno,1956-01-01,3
Austria,1956 Verano,1956-01-01,0
Austria,1960 Invierno,1960-01-01,1
Austria,1960 Verano,1960-01-01,1
Austria,1964 Invierno,1964-01-01,3
Austria,1964 Verano,1964-01-01,0
Austria,1968 Invierno,1968-01-01,3
Austria,1968 Verano,1968-01-01,0
Austria,1972 Invierno,1972-01-01,1
Austria,1972 Verano,1972-01-01,0
Austria,1976 Invierno,1976-01-01,2
Austria,1976 Verano,1976-01-01,0
Austria,1980 Invierno,1980-01-01,3
Austria,1980 Verano,1980-01-01,1
Austria,1984 Invierno,1984-01-01,0
Austria,1984 Verano,1984-01-01,1
Austria,1988 Invierno,1988-01-01,3
Austria,1988 Verano,1988-01-01,1
Austria,1992 Invierno,1992-01-01,5
Austria,1992 Verano,1992-01-01,0
Austria,1994 Invierno,1994-01-01,2
Austria,1996 Verano,1996-01-01,0
Austria,1998 Invierno,1998-01-01,3
Austria,2000 Verano,2000-01-01,3
Austria,2002 Invierno,2002-01-01,3
Austria,2004 Verano,2004-01-01,3
Austria,2006 Invierno,2006-01-01,14
Austria,2008 Verano,2008-01-01,0
Austria,2010 Invierno,2010-01-01,9
Austria,2012 Verano,2012-01-01,0
Austria,2014 Invierno,2014-01-01,4
Austria,2016 Verano,2016-01-01,0
Austria,2020 Verano,2020-01-01,1
Austria-1,1900 Verano,1900-01-01,0
Austria-1,1928 Invierno,1928-01-01,0
Austria-1,1936 Invierno,1936-01-01,0
Austria-1,1948 Invierno,1948-01-01,0
Austria-1,1952 Invierno,1952-01-01,0
Austria-1,1956 Invierno,1956-01-01,2
Austria-1,1964 Invierno,1964-01-01,2
Austria-1,1968 Invierno,1968-01-01,0
Austria-1,1972 Invierno,1972-01-01,0
Austria-1,1976 Invierno,1976-01-01,0
Austria-1,1980 Invierno,1980-01-01,0
Austria-1,1984 Invierno,1984-01-01,0
Austria-1,1988 Invierno,1988-01-01,0
Austria-1,1992 Invierno,1992-01-01,4
Austria-1,1994 Invierno,1994-01-01,0
Austria-1,1996 Verano,1996-01-01,0
Austria-1,1998 Invierno,1998-01-01,0
Austria-1,2002 Invierno,2002-01-01,0
Austria-1,2004 Verano,2004-01-01,0
Austria-1,2006 Invierno,2006-01-01,2
Austria-1,2008 Verano,2008-01-01,0
Austria-1,2010 Invierno,2010-01-01,2
Austria-1,2014 Invierno,2014-01-01,0
Austria-1,2016 Verano,2016-01-01,0
Austria-2,1928 Invierno,1928-01-01,0
Austria-2,1936 Invierno,1936-01-01,0
Austria-2,1948 Invierno,1948-01-01,0
Austria-2,1952 Invierno,1952-01-01,0
Austria-2,1956 Invierno,1956-01-01,0
Austria-2,1964 Invierno,1964-01-01,0
Austria-2,1968 Invierno,1968-01-01,0
Austria-2,1972 Invierno,1972-01-01,0
Austria-2,1976 Invierno,1976-01-01,0
Austria-2,1980 Invierno,1980-01-01,0
Austria-2,1984 Invierno,1984-01-01,0
Austria-2,1988 Invierno,1988-01-01,0
Austria-2,1992 Invierno,1992-01-01,0
Austria-2,1994 Invierno,1994-01-01,0
Austria-2,1996 Verano,1996-01-01,0
Austria-2,1998 Invierno,1998-01-01,0
Austria-2,2002 Invierno,2002-01-01,0
Austria-2,2004 Verano,2004-01-01,0
Austria-2,2006 Invierno,2006-01-01,0
Austria-2,2008 Verano,2008-01-01,0
Austria-2,2010 Invierno,2010-01-01,0
Austria-2,2014 Invierno,2014-01-01,0
Austria-2,2016 Verano,2016-01-01,0
Azerbaijan,1996 Verano,1996-01-01,0
Azerbaijan,1998 Invierno,1998-01-01,0
Azerbaijan,2000 Verano,2000-01-01,2
Azerbaijan,2002 Invierno,2002-01-01,0
Azerbaijan,2004 Verano,2004-01-01,1
Azerbaijan,2006 Invierno,2006-01-01,0
Azerbaijan,2008 Verano,2008-01-01,1
Azerbaijan,2010 Invierno,2010-01-01,0
Azerbaijan,2012 Verano,2012-01-01,2
Azerbaijan,2014 Invierno,2014-01-01,0
Azerbaijan,2016 Verano,2016-01-01,1
Azerbaijan,2020 Verano,2020-01-01,12
"BLO Polo Club, Rugby",1900 Verano,1900-01-01,0
Babe,1928 Verano,1928-01-01,0
Baby-1,1900 Verano,1900-01-01,1
Baby-9,1900 Verano,1900-01-01,0
Baccara,1960 Verano,1960-01-01,0
"Bagatelle Polo Club, Paris",1900 Verano,1900-01-01,0
Bahamas,1952 Verano,1952-01-01,0
Bahamas,1956 Verano,1956-01-01,0
Bahamas,1960 Verano,1960-01-01,0
Bahamas,1964 Verano,1964-01-01,0
Bahamas,1968 Verano,1968-01-01,0
Bahamas,1972 Verano,1972-01-01,0
Bahamas,1976 Verano,1976-01-01,0
Bahamas,1984 Verano,1984-01-01,0
Bahamas,1988 Verano,1988-01-01,0
Bahamas,1992 Verano,1992-01-01,0
Bahamas,1996 Verano,1996-01-01,0
Bahamas,2000 Verano,2000-01-01,6
Bahamas,2004 Verano,2004-01-01,1
Bahamas,2008 Verano,2008-01-01,0
Bahamas,2012 Verano,2012-01-01,4
Bahamas,2016 Verano,2016-01-01,1
Bahrain,1984 Verano,1984-01-01,0
Bahrain,1988 Verano,1988-01-01,0
Bahrain,1992 Verano,1992-01-01,0
Bahrain,1996 Verano,1996-01-01,0
Bahrain,2000 Verano,2000-01-01,0
Bahrain,2004 Verano,2004-01-01,0
Bahrain,2008 Verano,2008-01-01,0
Bahrain,2012 Verano,2012-01-01,0
Bahrain,2016 Verano,2016-01-01,1
Bahrain,2020 Verano,2020-01-01,0
Bajazzo,1960 Verano,1960-01-01,0
Balaton,1960 Verano,1960-01-01,0
Ballerina IV,1960 Verano,1960-01-01,0
Bamba,1928 Verano,1928-01-01,0
Bangladesh,1984 Verano,1984-01-01,0
Bangladesh,1988 Verano,1988-01-01,0
Bangladesh,1992 Verano,1992-01-01,0
Bangladesh,1996 Verano,1996-01-01,0
Bangladesh,2000 Verano,2000-01-01,0
Bangladesh,2004 Verano,2004-01-01,0
Bangladesh,2008 Verano,2008-01-01,0
Bangladesh,2012 Verano,2012-01-01,0
Bangladesh,2016 Verano,2016-01-01,0
Barbados,1968 Verano,1968-01-01,0
Barbados,1972 Verano,1972-01-01,0
Barbados,1976 Verano,1976-01-01,0
Barbados,1984 Verano,1984-01-01,0
Barbados,1988 Verano,1988-01-01,0
